"The data shown here is provided by Statistics Canada from the 2001 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2001, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2001,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
  Danish,35,10,35,45,40,35,40,15,15,45,15,10,15,25,0,15,10,0,35,15,115,65,625,"3,570"
  Montagnais-Naskapi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
  Micmac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Gaelic languages,10,25,25,20,20,0,20,0,0,30,0,0,0,10,10,0,0,10,10,0,35,0,225,710
  Dogrib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
  South Slave,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15
  Chipewyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,15
  Kutchin-Gwich'in (Loucheux),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Tlingit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Total population by selected religions,"14,040","27,720","21,215","27,550","28,975","32,810","44,235","13,965","25,465","39,425","21,740","24,395","11,900","44,785","21,820","8,755","6,680","11,060","33,270","26,510","41,910","12,680","539,630","1,967,475"
  Roman Catholic,"2,175","5,540","3,830","5,300","6,095","7,765","8,730","2,090","4,865","6,785","3,875","5,835","1,665","8,655","4,660","1,315","1,280","1,600","5,115","4,595","7,895","1,985","101,280","360,620"
  No Religion,"5,060","11,900","7,135","10,550","13,685","15,820","19,400","5,100","10,285","16,715","9,240","9,790","4,835","19,855","8,680","3,010","2,610","5,395","9,045","11,320","17,655","4,340","221,010","676,175"
  United Church,"1,225","1,260","1,995","1,995","1,035",705,"1,045","1,320","1,040","2,580","1,125",735,490,880,855,640,430,330,625,670,"2,585","1,240","24,760","149,290"
  Anglican,"1,420","1,325","2,765","2,345","1,025",775,905,"1,570",940,"3,595","1,055",895,515,700,845,"1,005",375,205,655,640,"2,900","1,530","27,810","123,905"
  Christian not included elsewhere,615,"1,330","1,065","1,095","1,100","1,395","1,350",670,"1,705","1,210","1,230","1,170",670,"2,065",955,350,285,670,"1,620","1,365","1,375",400,"23,600","101,625"
  Baptist,260,450,440,435,460,380,630,370,750,560,535,410,210,715,535,185,120,105,465,885,670,475,"10,045","49,105"
  Lutheran,230,295,290,475,370,295,365,220,360,715,245,310,115,380,245,60,110,80,385,480,765,335,"7,070","43,000"
  Muslin,35,915,100,455,300,240,765,65,585,365,335,530,285,795,325,165,30,155,"1,225",320,"1,315",25,"9,350","52,590"
"  Protestant, n.i.e.",200,670,265,575,275,225,390,180,320,790,305,360,245,355,240,130,70,255,345,190,655,365,"7,420","34,535"
  Presbyterian,190,185,205,225,90,100,175,180,150,305,105,55,80,175,205,180,50,35,50,140,310,100,"3,275","17,180"
  Pentecostal,15,90,60,75,55,290,280,30,180,165,80,250,70,395,120,10,20,80,100,100,80,60,"2,600","17,695"
  Jewish,430,375,645,"1,010",240,75,225,590,160,"1,525",325,195,785,90,555,775,320,35,155,90,630,415,"9,620","17,275"
  Buddhist,"1,150","1,255","1,010",750,"1,985","3,185","4,765",880,"1,610",745,"1,540","1,480","1,300","4,925","1,540",560,425,"1,615","2,060","2,705","1,060",600,"37,145","74,550"
  Hindu,60,90,65,55,190,310,"1,390",75,330,160,145,220,115,"1,590",385,0,0,35,"1,790",495,145,45,"7,670","27,405"
  Sikh,20,90,115,90,30,265,"1,595",95,560,140,245,100,160,"1,695",300,0,10,20,"8,125","1,415",120,10,"15,195","99,005"
  Greek Orthodox,275,220,200,250,135,95,250,100,200,970,115,95,40,265,195,130,115,15,85,150,145,220,"4,270","10,810"
  Mennonite,75,45,30,85,10,10,110,50,175,125,40,55,80,70,0,10,60,0,565,185,105,0,"1,895","11,100"
  Orthodox not included elsewhere,125,305,45,115,185,75,90,50,180,185,285,215,15,95,30,15,20,15,40,50,795,10,"2,945","9,535"
  Jehovah's Witnesses,15,95,20,150,85,90,220,10,140,120,100,150,10,235,185,0,40,0,85,30,250,0,"2,045","10,780"
  Ukrainian Catholic,10,40,15,130,30,80,40,0,20,70,35,75,0,30,125,0,25,10,25,10,115,20,915,"3,795"
  Church of Jesus Christ of Latter-day Saints,40,50,50,55,20,10,100,15,0,20,55,40,10,35,15,10,0,35,65,70,35,0,740,"5,220"
  Salvation Army,0,60,0,10,0,10,10,10,20,10,0,15,0,20,0,0,0,0,0,40,20,20,245,"1,550"
  Christian Reformed Church,0,10,0,0,10,0,20,10,25,10,10,10,0,35,10,10,0,20,0,40,25,0,240,"4,580"
  Evangelical Missionary Church,10,10,15,0,20,85,0,0,0,10,25,20,10,50,25,0,0,0,10,40,35,10,380,"3,445"
  Christian and Missionary Alliance,30,0,60,40,10,20,125,0,175,40,30,60,60,90,40,0,15,0,55,85,45,25,"1,010","5,930"
  Advantist - Seventh-day,0,20,20,35,10,0,70,0,25,20,10,25,40,75,65,0,0,25,70,30,30,0,555,"3,275"
  Non-denominational,0,40,60,85,45,0,35,20,55,35,10,0,10,20,10,0,0,0,25,35,35,10,520,"2,385"
  Ukrainian Orthodox,15,10,10,25,10,25,0,15,40,20,50,45,0,10,0,10,15,0,0,15,90,20,440,"1,525"
  Native Indian or Inuit,0,45,35,0,150,70,0,0,15,35,0,115,0,0,25,0,0,45,10,30,60,0,605,"1,560"
  Hutterite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"  Methodist, n.i.e",0,20,20,45,25,0,25,15,70,30,10,10,0,20,30,0,0,0,55,45,70,10,515,"2,745"
  Pagan,20,45,20,15,240,35,165,0,25,95,45,95,0,50,55,10,70,50,35,10,95,25,"1,215","2,625"
  Brethren in Christ,30,25,20,10,0,0,25,0,40,10,0,0,0,0,0,0,0,0,10,10,10,10,205,785
  Serbian Orthodox,0,95,0,95,0,20,0,0,45,55,20,15,0,15,15,0,0,0,0,0,345,0,740,"2,225"
Total population 1 year and over by mobility status 1 year ago,"13,980","27,505","21,040","27,250","28,625","32,465","43,750","13,870","25,225","39,045","21,525","24,085","11,855","44,380","21,505","8,710","6,600","10,995","32,770","26,315","41,640","12,570","534,435","1,946,960"
 Non-movers,"11,640","18,845","18,340","20,070","21,750","28,470","36,660","11,725","21,695","29,055","17,490","17,950","9,880","37,230","17,975","7,775","5,335","8,705","27,550","23,070","29,475","10,525","430,110","1,628,940"
 Movers,"2,340","8,660","2,700","7,180","6,880","3,995","7,085","2,145","3,535","9,990","4,030","6,130","1,970","7,155","3,535",935,"1,265","2,295","5,220","3,240","12,165","2,050","104,325","318,015"
  Non-migrants,"1,405","5,555","1,585","4,380","4,735","2,545","4,815","1,210","2,035","5,785","2,180","3,915","1,275","4,570","2,285",635,870,"1,550","3,700","1,970","6,195","1,080","64,165","175,300"
  Migrants,935,"3,110","1,110","2,800","2,150","1,450","2,270",940,"1,500","4,205","1,855","2,220",690,"2,585","1,245",300,390,745,"1,515","1,270","5,965",970,"40,160","142,715"
    Internal migrants,430,"2,080",765,"2,060","1,480",835,"1,135",515,765,"2,915",870,"1,360",295,"1,250",670,140,225,465,625,710,"2,755",535,"22,820","97,185"
      Intraprovincial migrants,320,"1,420",470,"1,300",870,595,845,435,630,"1,910",500,770,180,"1,095",450,90,160,200,380,550,"1,540",250,"14,950","77,835"
      Interprovincial migrants,110,660,295,760,605,240,290,80,135,"1,010",365,585,115,155,220,45,65,265,240,165,"1,215",285,"7,870","19,350"
    External migrants,505,"1,025",350,740,665,615,"1,135",425,735,"1,290",990,865,395,"1,335",575,165,170,285,895,555,"3,210",440,"17,340","45,530"
Total population 5 years and over by mobility status 5 years ago,"13,635","27,015","20,215","26,590","27,420","30,950","41,560","13,545","24,250","38,055","20,925","23,145","11,525","42,310","20,615","8,485","6,360","10,715","30,985","25,400","41,110","12,160","515,755","1,861,975"
 Non-movers,"7,470","5,110","12,830","9,215","12,040","18,890","22,950","7,240","14,530","14,640","9,980","8,300","6,080","23,415","11,295","5,255","3,275","4,930","16,960","15,230","13,020","7,235","249,135","970,840"
 Movers,"6,165","21,905","7,385","17,375","15,380","12,055","18,615","6,305","9,720","23,415","10,945","14,850","5,440","18,895","9,320","3,230","3,085","5,785","14,025","10,170","28,095","4,925","266,615","891,135"
  Non-migrants,"2,915","12,120","4,025","8,995","9,185","7,165","11,455","3,400","5,080","11,995","4,635","8,225","2,315","11,140","5,740","1,665","1,675","3,595","8,540","6,075","12,320","2,605","144,590","432,825"
  Migrants,"3,245","9,785","3,360","8,380","6,200","4,890","7,160","2,905","4,640","11,420","6,310","6,630","3,120","7,755","3,585","1,565","1,405","2,190","5,485","4,095","15,770","2,320","122,025","458,310"
    Internal migrants,"1,235","6,060","2,080","6,095","4,295","2,370","3,325","1,475","1,765","8,275","2,575","3,845",725,"2,730","1,710",815,905,"1,235","2,070","1,710","8,740","1,455","65,370","290,195"
      Intraprovincial migrants,850,"3,730","1,505","3,490","2,295","1,655","2,190","1,135","1,390","4,705","1,625","2,050",510,"1,980","1,025",540,600,560,"1,330","1,155","4,835",730,"39,815","223,405"
      Interprovincial migrants,385,"2,335",570,"2,605","2,000",710,"1,125",335,380,"3,570",950,"1,790",210,750,680,275,305,670,745,550,"3,905",725,"25,550","66,790"
    External migrants,"2,015","3,725","1,285","2,290","1,900","2,520","3,840","1,435","2,875","3,145","3,735","2,790","2,400","5,030","1,870",750,500,960,"3,415","2,385","7,030",865,"56,660","168,120"
Total population by citizenship,"14,040","27,720","21,215","27,550","28,975","32,810","44,235","13,965","25,465","39,425","21,740","24,395","11,905","44,785","21,820","8,760","6,675","11,060","33,270","26,510","41,910","12,680","539,630","1,967,475"
  Canadian Citizenship,"11,805","23,575","19,400","24,745","26,085","29,120","38,105","11,995","22,010","35,745","17,485","20,740","9,370","37,890","19,265","7,870","6,015","9,630","27,175","23,115","33,795","11,390","465,155","1,734,425"
  Citizenship other than Canadian,"2,235","4,145","1,810","2,805","2,885","3,690","6,130","1,965","3,460","3,680","4,250","3,660","2,535","6,890","2,555",885,665,"1,430","6,095","3,395","8,115","1,290","74,475","233,050"
Total population by immigrant status and place of birth,"14,040","27,725","21,215","27,550","28,975","32,810","44,235","13,965","25,470","39,430","21,740","24,395","11,900","44,785","21,820","8,755","6,680","11,060","33,270","26,510","41,910","12,675","539,625","1,967,480"
 Non-immigrant population,"6,640","16,105","13,680","18,275","18,250","15,495","18,965","7,310","11,390","28,385","9,485","13,705","4,335","17,025","11,425","5,000","3,730","5,145","12,975","9,850","24,730","8,545","279,510","1,199,755"
  Born in province of residence,"4,390","7,715","9,670","9,235","10,490","12,180","14,385","4,925","8,705","14,770","6,195","7,605","3,015","13,895","7,950","3,520","2,360","2,670","10,640","7,895","10,090","5,280","176,805","821,535"
  Born outside province of residence,"2,245","8,390","4,010","9,040","7,765","3,315","4,585","2,385","2,690","13,610","3,295","6,095","1,320","3,130","3,475","1,480","1,370","2,475","2,330","1,955","14,640","3,260","102,710","378,225"
 Total immigrants by selected places of birth,"7,040","10,585","7,190","8,695","10,215","16,850","24,680","6,375","13,800","10,105","11,960","10,275","7,180","26,785","10,075","3,590","2,815","5,770","19,915","16,425","13,885","3,795","247,635","738,550"
  United Kingdom,615,735,"1,160","1,260",630,300,560,675,500,"2,195",440,530,220,350,535,265,195,110,370,380,"2,005",735,"14,710","69,110"
"  China, People's Republic of","1,195","1,695",680,675,"2,675","6,835","8,410","1,015","3,040",330,"3,115","1,835","1,935","8,665","2,555",560,480,"3,320","3,625","4,905",730,210,"58,445","101,765"
  Italy,40,70,50,140,605,"1,835",350,40,170,115,55,80,30,800,75,20,30,10,80,170,145,45,"4,960","13,150"
  India,35,115,125,105,190,345,"1,220",145,535,120,260,160,140,"1,435",245,10,10,35,"5,855",980,215,80,"12,340","67,825"
  United States,330,505,540,705,315,275,295,295,210,"1,000",280,355,65,175,235,180,125,165,165,150,655,380,"7,380","23,070"
"  Hong Kong, Special Administrative Region","1,640","1,485","1,195",820,580,"2,035","2,785","1,455","3,405",455,"2,700",380,"1,720","3,910","1,090",645,665,190,"2,435","4,440",535,555,"35,095","85,985"
  Philippines,75,325,135,410,760,680,"2,885",115,645,135,995,"2,270",165,"2,535","1,335",155,190,110,"2,120","1,360",590,80,"18,080","46,210"
  Poland,40,150,105,180,215,50,125,75,270,190,75,135,95,160,135,50,85,30,145,15,470,40,"2,810","11,550"
  Germany,145,260,215,215,295,120,195,70,105,340,115,215,20,145,135,35,20,65,175,130,505,145,"3,655","17,370"
  Portugal,0,35,10,60,230,195,445,0,125,10,0,30,0,615,150,15,30,30,55,115,30,15,"2,195","5,330"
  Viet Nam,50,160,40,70,"1,130","1,650","2,790",10,430,90,140,"1,095",60,"2,500",600,15,0,670,"1,285",860,180,10,"13,830","22,145"
  Jamaica,15,55,10,15,35,0,25,0,25,55,10,30,10,15,10,0,20,10,35,10,55,0,435,"2,135"
  Netherlands,30,135,45,95,70,25,55,30,50,140,10,25,20,90,20,20,20,25,20,25,190,90,"1,235","8,940"
  Guyana,10,30,10,45,20,20,25,0,15,15,15,10,10,20,15,15,0,10,10,10,15,0,305,"1,035"
  Greece,165,30,80,55,65,15,85,30,70,520,15,30,20,80,85,20,25,0,25,85,20,75,"1,600","3,055"
"  Korea, South",365,395,180,120,160,15,180,180,585,150,220,130,175,190,50,50,40,45,30,40,185,65,"3,490","20,730"
  France,15,115,45,145,50,20,40,25,30,155,15,85,0,70,55,25,20,15,50,10,255,90,"1,325","2,805"
  Lebanon,35,40,20,15,0,10,65,0,0,35,0,0,0,10,15,0,0,10,10,0,60,0,355,"1,450"
  Taiwan,"1,200",650,"1,210",560,35,160,250,"1,080",750,485,985,65,"1,355",720,785,795,335,35,205,525,420,365,"12,985","43,750"
  Yugoslavia,15,255,25,220,60,45,55,15,105,125,120,40,25,90,60,10,0,35,15,10,595,20,"1,925","5,860"
  Haiti,0,25,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,65,170
  Ukraine,15,45,0,75,20,20,100,50,60,35,140,95,20,35,90,10,0,40,130,60,195,0,"1,240","3,535"
  Croatia,0,35,15,45,45,150,75,10,95,85,10,25,45,145,15,0,0,0,65,100,120,15,"1,105","4,215"
  Mexico,25,130,10,70,70,50,90,25,100,85,65,25,20,20,85,15,35,10,45,15,180,35,"1,205","3,785"
  Egypt,0,25,0,35,15,0,0,10,0,40,10,0,30,25,0,10,10,10,0,0,45,0,245,"1,230"
"  South Africa, Republic of",135,130,140,195,30,45,35,130,45,255,85,45,65,25,65,40,50,10,15,10,240,55,"1,850","7,835"
"  Ireland, Republic of (EIRE)",20,25,65,45,60,10,10,25,10,130,35,20,55,25,45,10,10,10,25,15,100,45,790,"2,835"
  Morocco,0,30,0,20,10,0,10,0,10,35,25,0,0,10,10,10,0,10,0,0,55,0,210,365
  Austria,30,40,10,55,50,40,45,10,25,80,20,30,10,0,20,0,15,0,30,15,95,10,630,"2,505"
  Switzerland,0,55,50,30,30,10,20,35,0,100,10,0,25,0,10,10,10,0,0,10,60,10,480,"1,635"
  All other places of birth,800,"2,790","1,005","2,185","1,760","1,910","3,470",835,"2,375","2,590","1,985","2,515",845,"3,930","1,525",600,410,745,"2,905","1,975","4,950",615,"42,670","157,155"
  Non-permanent residents,365,"1,040",340,575,510,465,585,285,275,945,290,420,390,975,325,170,130,145,380,230,"3,295",345,"12,480","29,165"
 Total recent immigrants by selected places of birth,"1,885","2,940",950,"1,730","1,685","2,650","4,750","1,395","3,040","1,810","3,845","3,015","2,385","5,335","1,730",660,475,"1,040","4,260","3,030","3,920",400,"52,860","169,620"
"  China, People's Republic of",530,595,190,195,680,"1,645","2,140",325,865,155,"1,590",760,885,"2,245",695,160,90,750,825,"1,120",360,50,"16,850","34,440"
  India,10,45,0,10,15,40,215,20,90,0,110,45,15,270,25,0,0,0,"1,400",150,90,0,"2,545","15,700"
  Philippines,15,50,0,130,280,255,"1,135",40,190,40,245,850,45,930,390,40,35,75,810,480,135,10,"6,190","14,330"
  Pakistan,0,35,0,0,0,10,10,15,30,0,0,0,0,45,0,30,0,10,135,0,60,0,390,"2,150"
"  Hong Kong, Special Administrative Region",285,320,125,75,25,230,210,265,710,70,325,25,405,605,110,55,65,10,335,795,35,40,"5,090","15,680"
  Iran,0,165,0,65,35,45,20,25,40,95,180,110,60,40,10,0,0,0,0,10,345,10,"1,255","8,505"
  United States,35,160,60,100,25,15,30,40,50,75,55,80,25,40,10,10,10,15,35,30,100,40,"1,035","3,510"
"  Korea, South",210,95,100,70,15,0,95,40,360,85,40,60,95,40,0,45,0,30,10,0,90,45,"1,490","9,920"
  Sri Lanka,0,10,0,0,0,10,30,0,10,0,25,105,0,20,40,0,0,0,80,0,10,0,345,705
  Russian Federation,10,85,15,35,20,0,30,0,10,35,155,40,30,0,15,0,0,0,0,0,135,0,630,"2,155"
  Romania,0,10,0,40,40,0,15,0,0,30,40,65,15,0,0,0,0,0,0,0,45,0,300,"1,695"
  United Kingdom,20,65,65,75,25,10,35,10,15,165,0,30,10,0,45,0,10,0,55,40,185,35,895,"2,775"
  Yugoslavia,0,70,0,10,15,0,0,0,40,15,60,20,0,0,0,0,0,0,0,0,320,0,550,"1,685"
  Ukraine,10,0,0,40,15,0,45,45,35,10,90,70,10,30,20,10,0,40,0,0,110,0,585,"1,780"
  France,0,10,35,20,0,10,0,0,0,45,10,10,0,30,0,10,0,10,25,0,65,15,310,475
  Bosnia and Herzegovina,0,110,0,50,30,10,0,0,0,0,10,20,0,10,0,0,0,0,0,0,255,0,500,"1,495"
  Jamaica,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,140
  Algeria,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,35,140
  Mexico,15,85,0,50,45,20,55,0,45,45,45,20,0,0,40,10,15,0,45,0,105,0,650,"1,965"
  Afghanistan,0,0,0,0,0,35,10,0,0,0,0,10,0,0,0,0,0,0,0,20,0,0,70,"1,095"
  Iraq,0,0,0,10,15,0,10,0,0,0,10,25,10,10,20,0,0,0,0,0,15,0,115,495
  Viet Nam,0,25,0,10,110,145,210,0,15,0,0,95,10,175,25,10,0,20,115,25,10,0,975,"1,645"
"  South Africa, Republic of",15,35,20,25,10,15,0,10,0,55,40,0,30,0,15,0,10,0,0,10,80,0,365,"2,605"
  Germany,10,80,10,30,35,0,0,0,0,30,10,10,0,0,0,0,0,10,0,0,75,0,280,765
  Lebanon,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,235
  Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
  Morocco,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,30,0,80,120
  Colombia,0,10,0,10,0,0,10,0,0,10,10,15,0,0,0,0,0,0,0,0,85,0,150,905
  Croatia,0,0,0,20,0,0,10,0,0,10,0,15,0,0,0,0,0,0,0,0,70,10,130,470
"  Congo, Democratic Republic of the",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20,85
  All other places of birth,720,875,320,655,230,165,430,540,515,825,780,540,760,815,255,290,220,75,380,360,"1,120",150,"10,990","41,940"
Total immigrant population by period of immigration,"7,040","10,580","7,190","8,700","10,215","16,850","24,680","6,375","13,800","10,105","11,965","10,275","7,180","26,785","10,070","3,585","2,815","5,770","19,920","16,425","13,880","3,790","247,635","738,550"
  Before 1961,755,680,970,910,"1,150","2,015","1,535",715,965,"1,575",680,585,560,"1,545",820,365,265,540,"1,105",980,"1,620",695,"20,935","73,550"
  1961-1970,745,835,"1,220","1,295","1,145","1,815","1,995",625,"1,015","1,735",735,565,650,"2,145","1,250",315,310,520,"1,455","1,405","1,790",695,"24,155","73,200"
  1971-1980,750,"1,800",945,"1,635","1,765","3,680","5,240",925,"2,310","2,065","1,640","1,555","1,015","4,895","2,070",645,520,"1,225","3,855","2,950","2,245",630,"44,345","124,400"
  1981-1990,"1,205","1,920","1,130","1,320","2,590","3,440","6,390","1,170","2,825","1,480","1,950","2,280","1,090","6,760","2,200",770,500,"1,430","4,835","3,860","2,335",535,"51,960","142,580"
  1991-1995,"1,695","2,405","1,970","1,805","1,875","3,245","4,775","1,540","3,650","1,440","3,115","2,285","1,470","6,100","1,995",840,745,"1,020","4,410","4,195","1,975",840,"53,385","155,200"
  1996-2001,"1,885","2,940",955,"1,730","1,685","2,650","4,750","1,390","3,040","1,805","3,845","3,020","2,385","5,335","1,730",655,475,"1,040","4,260","3,030","3,925",400,"52,860","169,620"
Total immigrant population by age at immigration,"7,035","10,580","7,190","8,695","10,215","16,850","24,675","6,375","13,800","10,105","11,960","10,275","7,180","26,785","10,070","3,590","2,815","5,770","19,920","16,425","13,880","3,795","247,635","738,550"
  0-4 years,475,875,625,880,870,"1,220","1,780",440,890,"1,135",770,740,295,"1,600",730,250,265,270,"1,080","1,010","1,095",340,"17,600","58,985"
  5-19 years,"2,220","2,655","2,075","2,130","2,345","3,960","5,910","1,785","3,975","2,700","3,615","2,320","2,345","6,580","2,405",995,775,920,"5,125","4,565","3,000","1,055","63,385","198,510"
  20 years and over,"4,345","7,055","4,495","5,690","7,000","11,670","16,990","4,145","8,930","6,275","7,575","7,215","4,540","18,605","6,935","2,340","1,780","4,580","13,710","10,850","9,785","2,395","166,655","481,055"
Total population 15 years and over by generation status,"12,140","26,275","17,510","25,700","24,985","27,075","36,280","11,960","21,035","36,070","18,840","21,290","10,420","37,005","18,485","7,500","5,770","9,950","26,695","22,120","40,310","10,840","467,190","1,620,915"
  1st generation,"6,680","11,270","7,155","8,960","10,445","16,510","24,135","6,305","13,055","10,970","11,245","10,080","6,945","26,380","10,105","3,580","2,765","5,730","19,405","15,765","16,970","4,045","248,180","721,165"
  2nd generation,"2,725","5,450","4,805","6,355","5,250","6,135","6,640","2,660","4,290","9,565","3,585","4,055","2,155","6,970","4,140","1,830","1,510","1,685","4,810","4,125","8,070","2,740","99,350","366,230"
  3rd generation and over,"2,735","9,555","5,560","10,380","9,295","4,430","5,510","3,000","3,685","15,535","4,010","7,155","1,320","3,660","4,240","2,095","1,495","2,535","2,480","2,225","15,270","4,060","119,665","533,520"
Total population by ethnic origin (single and multiple responses),"14,035","27,720","21,210","27,550","28,975","32,810","44,235","13,965","25,470","39,430","21,740","24,400","11,900","44,785","21,820","8,755","6,680","11,060","33,275","26,510","41,910","12,680","539,630","1,967,475"
  Total population - Single responses,"9,485","17,810","11,680","14,040","18,005","25,625","35,130","8,960","18,995","18,225","15,660","15,335","9,690","37,835","15,150","5,255","4,100","9,030","28,250","22,365","23,665","5,985","369,345","1,226,275"
  Total population - Multiple responses,"4,550","9,910","9,535","13,510","10,970","7,180","9,105","5,010","6,475","21,205","6,075","9,060","2,215","6,955","6,670","3,505","2,580","2,030","5,020","4,145","18,245","6,690","170,285","741,200"
Canadian - Total responses,"2,255","5,020","4,740","5,435","4,570","4,000","4,210","2,330","2,985","8,590","2,995","4,040","1,120","3,600","2,950","1,500",895,"1,160","2,275","2,250","7,585","2,840","77,235","378,545"
